T_LR,H_LR,T_BR1,H_BR1,T_BR3,H_BR3,T_BR2,H_BR2,T_O,H_O,datetime
24.300002,46.9,22.1,55.600004,17.6,72.8,20.2,60.600004,4.2,91.5,2026-01-29 09:30:56
24.300002,47.100004,22.1,55.5,17.6,72.8,20.2,60.600004,4.3,91.4,2026-01-29 09:35:57
24.2,47.4,22.0,55.4,17.5,73.1,20.1,60.0,4.4,90.9,2026-01-29 09:40:57
24.300002,47.5,22.0,55.5,17.4,73.6,20.0,60.3,4.4,91.0,2026-01-29 09:45:58
24.4,47.9,21.9,55.7,17.300002,73.9,20.0,60.7,4.5,90.5,2026-01-29 09:50:58
24.5,47.9,21.9,55.9,17.300002,74.200008,20.0,60.8,4.5,90.5,2026-01-29 09:55:58
24.5,47.9,21.9,56.0,17.300002,74.200008,20.0,60.8,4.5,90.2,2026-01-29 10:00:59
24.4,47.9,21.9,56.100004,17.300002,74.5,20.0,61.0,4.6,90.5,2026-01-29 10:05:59
24.300002,47.8,21.800002,56.2,17.300002,74.6,20.0,61.0,4.6,89.9,2026-01-29 10:11:00
24.4,47.5,21.800002,56.3,17.300002,74.6,19.9,61.4,4.9,90.4,2026-01-29 10:16:00
20.6,34.2,21.7,56.5,17.2,74.8,19.800002,61.2,4.9,90.1,2026-01-29 10:21:01
18.9,36.3,21.300002,50.5,16.4,72.5,17.5,55.600004,4.9,89.4,2026-01-29 10:26:01
19.4,35.3,18.7,45.7,14.7,66.4,14.5,54.100004,4.9,89.2,2026-01-29 10:31:01
20.6,38.7,19.9,46.9,15.0,74.4,17.5,55.2,4.9,88.8,2026-01-29 10:36:02
21.800002,38.5,20.300002,46.5,15.5,72.700008,18.6,51.3,4.9,89.4,2026-01-29 10:41:02
22.300002,38.5,20.5,47.600004,15.7,71.6,18.9,51.7,5.0,88.9,2026-01-29 10:46:03
22.7,41.100004,20.800002,48.9,16.300002,69.5,19.1,51.7,5.0,88.7,2026-01-29 10:51:03
23.0,42.0,20.9,49.0,16.5,68.3,19.2,51.9,5.0,88.1,2026-01-29 10:56:04
23.1,42.600004,21.0,49.5,16.6,68.1,19.300002,52.3,5.1,89.1,2026-01-29 11:01:04
21.0,34.3,21.1,50.0,16.800002,68.1,19.4,53.0,5.2,87.4,2026-01-29 11:06:04
