SMILES,LogS,MolWt,LogP,EState_VSA5,TPSA,NumHAcc,NumAromaticRings,HeavyAtomCount,RingCount,qed,NumHDonors,NOCount
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,457.4320000000001,-3.1080199999999985,0.0,202.31999999999996,12.0,1.0,32.0,3.0,0.21751778620947723,7.0,12.0
Cc1occc1C(=O)Nc2ccccc2,-3.3,201.22500000000002,2.840320000000001,6.263162995639057,42.24,2.0,2.0,15.0,2.0,0.8112827471791438,1.0,3.0
CC(C)=CCCC(C)=CC(=O),-2.06,152.237,2.878000000000001,5.573104530069267,17.07,1.0,0.0,11.0,0.0,0.34370646240024516,0.0,1.0
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,278.354,6.299400000000004,43.089793715718365,0.0,0.0,5.0,22.0,5.0,0.29152582766624097,0.0,0.0
c1ccsc1,-1.33,84.14299999999999,1.7480999999999998,0.0,0.0,1.0,1.0,5.0,1.0,0.4489266460144336,0.0,0.0
c2ccc1scnc1c2 ,-1.5,135.191,2.2962999999999996,4.699919916469101,12.89,2.0,2.0,9.0,2.0,0.5397735725540235,0.0,1.0
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,326.437,6.620600000000001,0.0,0.0,0.0,2.0,17.0,2.0,0.5521362037971855,0.0,0.0
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,272.388,3.6092000000000026,30.38936785217202,40.46,2.0,1.0,20.0,4.0,0.757169743555686,2.0,2.0
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,380.913,4.481400000000002,0.0,12.53,1.0,0.0,19.0,5.0,0.3426777863228231,0.0,1.0
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,394.42300000000023,3.7033000000000023,0.0,63.22,6.0,2.0,29.0,5.0,0.7399961156347875,0.0,6.0
O=C1CCCN1,1.07,85.10600000000001,-0.10360000000000008,0.0,29.1,1.0,0.0,6.0,1.0,0.43683552723485436,1.0,2.0
Clc1ccc2ccccc2c1,-4.14,162.61899999999997,3.4932000000000016,10.772448428929591,0.0,0.0,2.0,11.0,2.0,0.5564479696593142,0.0,0.0
CCCC=C,-2.68,70.135,1.9725,6.4208216229260096,0.0,0.0,0.0,5.0,0.0,0.43560382698496614,0.0,0.0
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,218.256,0.5378999999999994,0.0,58.2,2.0,1.0,16.0,2.0,0.7116448391760647,2.0,4.0
CCCCCCCCCCCCCC,-7.96,198.39399999999995,5.707400000000006,77.04985947511214,0.0,0.0,0.0,14.0,0.0,0.3731035838174365,0.0,0.0
CC(C)Cl,-1.41,78.542,1.6336,0.0,0.0,0.0,0.0,4.0,0.0,0.386541833877651,0.0,0.0
CCC(C)CO,-0.47,88.14999999999999,1.0248,0.0,20.23,1.0,0.0,6.0,0.0,0.5340885234757722,1.0,1.0
N#Cc1ccccc1,-1.0,103.12399999999997,1.5582799999999999,0.0,23.79,1.0,1.0,8.0,1.0,0.4884445703746373,0.0,1.0
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,304.35200000000003,3.5847200000000026,0.0,53.47,6.0,1.0,19.0,1.0,0.7176158745437983,0.0,5.0
CCCCCCCCCC(C)O,-2.94,172.312,3.5079000000000025,44.94575136048208,20.23,1.0,0.0,12.0,0.0,0.5554538397325264,1.0,1.0
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,326.437,6.620600000000001,0.0,0.0,0.0,2.0,17.0,2.0,0.5165015321569533,0.0,0.0
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.594,234.29899999999995,1.5305,10.987921270717365,54.86,3.0,1.0,17.0,3.0,0.8008110582480527,1.0,4.0
CCOP(=S)(OCC)SCSCC,-4.11,260.38599999999997,3.727700000000003,0.0,18.46,5.0,0.0,13.0,0.0,0.37479709013917767,0.0,2.0
CCOc1ccc(NC(=O)C)cc1,-2.35,179.219,2.0437,6.923737199690624,38.33,2.0,1.0,13.0,1.0,0.7706788668096719,1.0,3.0
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,322.243,2.9502000000000006,4.899909730850478,115.54000000000002,6.0,1.0,22.0,1.0,0.5059504568728941,1.0,8.0
CCCCCCCO,-1.81,116.204,1.9491,25.683286491704038,20.23,1.0,0.0,8.0,0.0,0.5441914935658748,1.0,1.0
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,180.16699999999997,-1.039700000000001,17.942091705233086,72.68,5.0,2.0,13.0,2.0,0.5624722357827983,1.0,6.0
