ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,Np Likeness Score,Molecular Formula,SMILES,Inchi Key,Inchi,Withdrawn Flag,Orphan,Records Key,Records Name
CHEMBL50524,,,Small molecule,,361.47,2.0,2.0,1.96,84.66,7.0,2.0,0.0,8.0,N,0.55,2.0,MOL,-1,25.0,-0.79,C18H23N3O3S,Nc1c(NC/C=C\COc2csc(CN3CCCCC3)c2)c(=O)c1=O,ZXLCEKMBIFPOSF-DJWKRKHSSA-N,"InChI=1S/C18H23N3O3S/c19-15-16(18(23)17(15)22)20-6-2-5-9-24-13-10-14(25-12-13)11-21-7-3-1-4-8-21/h2,5,10,12,20H,1,3-4,6-9,11,19H2/b5-2-",False,-1,['12a'],"['3-Amino-4-[(Z)-4-(5-piperidin-1-ylmethyl-thiophen-3-yloxy)-but-2-enylamino]-cyclobut-3-ene-1,2-dione']"
CHEMBL1719619,,,Small molecule,,339.35,4.0,4.0,2.33,110.62,7.0,2.0,0.0,3.0,N,0.88,2.0,MOL,-1,25.0,-0.9,C18H17N3O4,COc1ccc(OC)c(C2C(C#N)=C(N)Oc3cc(C)nc(O)c32)c1,ATRZEYKVGNFNIL-UHFFFAOYSA-N,"InChI=1S/C18H17N3O4/c1-9-6-14-16(18(22)21-9)15(12(8-19)17(20)25-14)11-7-10(23-2)4-5-13(11)24-3/h4-7,15H,20H2,1-3H3,(H,21,22)",False,-1,"['SID859991', 'SID87345386']","['SID859991', 'SID87345386']"
CHEMBL1989505,,,Small molecule,,417.54,2.0,2.0,6.02,92.93,5.0,3.0,1.0,4.0,N,0.38,4.0,MOL,-1,30.0,-1.12,C23H23N5OS,Cc1ccc(NC(=O)Nc2ccc(-c3c(C(C)C)sc4ncnc(N)c34)cc2)cc1,OCRAIYGHHHMVJB-UHFFFAOYSA-N,"InChI=1S/C23H23N5OS/c1-13(2)20-18(19-21(24)25-12-26-22(19)30-20)15-6-10-17(11-7-15)28-23(29)27-16-8-4-14(3)5-9-16/h4-13H,1-3H3,(H2,24,25,26)(H2,27,28,29)",False,-1,['SID103904394'],['SID103904394']
CHEMBL1673052,,,Small molecule,,487.61,3.0,9.0,4.12,77.07,8.0,1.0,0.0,5.0,N,0.58,3.0,MOL,-1,36.0,-1.28,C27H33N7O2,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C(C)C)c1ccccc1C(=O)N2C,YYTFTZONXCQXLW-UHFFFAOYSA-N,"InChI=1S/C27H33N7O2/c1-18(2)34-22-9-7-6-8-20(22)26(35)32(4)23-17-28-27(30-25(23)34)29-21-11-10-19(16-24(21)36-5)33-14-12-31(3)13-15-33/h6-11,16-18H,12-15H2,1-5H3,(H,28,29,30)",False,-1,"['24', 'XMD10-78', 'Compound 18']","['11-isopropyl-2-((2-methoxy-4-(4-methylpiperazin-1-yl)phenyl)amino)-5-methyl-5H-benzo[e]pyrimido[5,4-b][1,4]diazepin-6(11H)-one', '11-isopropyl-2-[2-methoxy-4-(4-methylpiperazin-1-yl)anilino]-5-methyl-pyrimido[4,5-b][1,4]benzodiazepin-6-one', '11-isopropyl-2-((2-methoxy-4-(4-methylpiperazin-1-yl)phenyl)amino)-5-methyl-5,11-dihydro-6H-benzo[e]pyrimido[5,4-b][1,4]diazepin-6-one']"
CHEMBL3084770,,,Small molecule,,426.56,1.0,1.0,3.58,70.84,6.0,1.0,0.0,4.0,N,0.81,2.0,MOL,-1,31.0,-0.62,C24H34N4O3,CC[C@H]1COC[C@H](C)N1c1nc2c(C(=O)N[C@@H]3C[C@H]4CCC[C@@H](C3)N4C)cccc2o1,UIKMHGOYAXJLIA-VPAKFMSCSA-N,"InChI=1S/C24H34N4O3/c1-4-17-14-30-13-15(2)28(17)24-26-22-20(9-6-10-21(22)31-24)23(29)25-16-11-18-7-5-8-19(12-16)27(18)3/h6,9-10,15-19H,4-5,7-8,11-14H2,1-3H3,(H,25,29)/t15-,16-,17-,18-,19+/m0/s1",False,-1,['35'],"['endo-2-((3S,5S)-3-ethyl-5-methylmorpholino)-N-((1R,5R)-9-methyl-9-azabicyclo[3.3.1]nonan-3-yl)benzo[d]oxazole-4-carboxamide']"
CHEMBL1982534,,,Small molecule,,211.2,55.0,55.0,0.44,83.8,5.0,1.0,0.0,0.0,N,0.5,1.0,MOL,-1,14.0,-0.59,C8H5NO4S,O=C1/C(=N\O)S(=O)(=O)c2ccccc21,PMUIOXSTYQCLRU-CMDGGOBGSA-N,"InChI=1S/C8H5NO4S/c10-7-5-3-1-2-4-6(5)14(12,13)8(7)9-11/h1-4,11H/b9-8+",False,-1,['SID494308'],['SID494308']
CHEMBL2004365,,,Small molecule,,459.57,89.0,89.0,0.99,117.41,9.0,2.0,0.0,5.0,N,0.55,3.0,MOL,-1,30.0,-1.53,C20H17N3O4S3,CCOC(=O)C1=C(N)n2c(sc(=Cc3cccs3)c2=O)=C(C(N)=O)C1c1cccs1,ZQVQTUFEKLITNT-UHFFFAOYSA-N,"InChI=1S/C20H17N3O4S3/c1-2-27-20(26)14-13(11-6-4-8-29-11)15(17(22)24)19-23(16(14)21)18(25)12(30-19)9-10-5-3-7-28-10/h3-9,13H,2,21H2,1H3,(H2,22,24)",False,-1,['SID103905320'],['SID103905320']
CHEMBL1966329,,,Small molecule,,225.11,54.0,54.0,2.56,26.3,2.0,0.0,0.0,0.0,Y,0.47,0.0,MOL,-1,13.0,1.25,C9H14Cl2O2,CC1(C)CCOC(=O)C(Cl)CC1Cl,ALJOJUWYOAXJJJ-UHFFFAOYSA-N,"InChI=1S/C9H14Cl2O2/c1-9(2)3-4-13-8(12)6(10)5-7(9)11/h6-7H,3-5H2,1-2H3",False,-1,['SID512286'],['SID512286']
CHEMBL314228,,,Small molecule,,362.48,1.0,3.0,5.43,58.95,3.0,2.0,1.0,3.0,N,0.65,3.0,MOL,-1,27.0,-2.04,C22H26N4O,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccccc2)cc1C,ANZAPACAXUOLFY-UHFFFAOYSA-N,"InChI=1S/C22H26N4O/c1-15-11-12-18(13-16(15)2)26-20(14-19(25-26)22(3,4)5)24-21(27)23-17-9-7-6-8-10-17/h6-14H,1-5H3,(H2,23,24,27)",False,-1,"['M8', '51']","['1-[5-tert-Butyl-2-(3,4-dimethyl-phenyl)-2H-pyrazol-3-yl]-3-phenyl-urea', '1-[5-tert-Butyl-2-(3,4-dimethyl-phenyl)-2H-pyrazol-3-yl]-3-phenyl-urea']"
CHEMBL2170333,,,Small molecule,,290.36,3.0,7.0,3.47,36.92,4.0,0.0,0.0,2.0,N,0.78,1.0,MOL,-1,21.0,1.03,C17H22O4,Cc1ccc(CC23CCC4(C)O[C@]2(C)OO[C@]3(C)O4)cc1,QONDSKDTDGBRGB-HPZPOOBXSA-N,"InChI=1S/C17H22O4/c1-12-5-7-13(8-6-12)11-17-10-9-14(2)18-15(17,3)20-21-16(17,4)19-14/h5-8H,9-11H2,1-4H3/t14?,15-,16+,17?",False,-1,['47'],"['(3R,6S)-1,3,6-trimethyl-7-(4-methylbenzyl)-2,4,5,10-tetraoxatricyclo[4.3.1.0(3,7)]decane']"
